Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jeff Green (11695179),Jeff Green,11695179,SF/PF/F/UTIL,4300,NO@WAS 11/24/2018 08:00PM ET,WAS,21.76
PF/C,Dirk Nowitzki (11695183),Dirk Nowitzki,11695183,PF/C/F/UTIL,4300,BOS@DAL 11/24/2018 08:30PM ET,DAL,0
PG,Isaiah Thomas (11695187),Isaiah Thomas,11695187,PG/G/UTIL,4300,DEN@OKC 11/24/2018 08:00PM ET,DEN,0
PF,Taj Gibson (11695203),Taj Gibson,11695203,PF/F/UTIL,4200,CHI@MIN 11/24/2018 08:00PM ET,MIN,25.42
SF/PF,Nemanja Bjelica (11695206),Nemanja Bjelica,11695206,SF/PF/F/UTIL,4200,SAC@GS 11/24/2018 08:30PM ET,SAC,26.19
SG/SF,Jaylen Brown (11695195),Jaylen Brown,11695195,SG/SF/F/G/UTIL,4200,BOS@DAL 11/24/2018 08:30PM ET,BOS,20.10
PG,Monte Morris (11695200),Monte Morris,11695200,PG/G/UTIL,4200,DEN@OKC 11/24/2018 08:00PM ET,DEN,19.99
SF/PF,P.J. Tucker (11695210),P.J. Tucker,11695210,SF/PF/F/UTIL,4100,HOU@CLE 11/24/2018 07:30PM ET,HOU,21.18
SF/PF,Jonas Jerebko (11695214),Jonas Jerebko,11695214,SF/PF/F/UTIL,4100,SAC@GS 11/24/2018 08:30PM ET,GS,17.11
SG/SF,Bogdan Bogdanovic (11695222),Bogdan Bogdanovic,11695222,SG/SF/F/G/UTIL,4000,SAC@GS 11/24/2018 08:30PM ET,SAC,22.79
PG/SG,Terry Rozier (11695218),Terry Rozier,11695218,PG/SG/G/UTIL,4000,BOS@DAL 11/24/2018 08:30PM ET,BOS,18.63
SG/SF,James Ennis III (11695227),James Ennis III,11695227,SG/SF/F/G/UTIL,3900,HOU@CLE 11/24/2018 07:30PM ET,HOU,15.68
PG/SG,Bryn Forbes (11695232),Bryn Forbes,11695232,PG/SG/G/UTIL,3900,SA@MIL 11/24/2018 08:30PM ET,SA,20.46
SF/PF,Sam Dekker (11695236),Sam Dekker,11695236,SF/PF/F/UTIL,3800,HOU@CLE 11/24/2018 07:30PM ET,CLE,14.86
PG/SG,George Hill (11695240),George Hill,11695240,PG/SG/G/UTIL,3800,HOU@CLE 11/24/2018 07:30PM ET,CLE,21.48
SF,Dorian Finney-Smith (11695244),Dorian Finney-Smith,11695244,SF/F/UTIL,3800,BOS@DAL 11/24/2018 08:30PM ET,DAL,18.71
SG/SF,David Nwaba (11695247),David Nwaba,11695247,SG/SF/F/G/UTIL,3700,HOU@CLE 11/24/2018 07:30PM ET,CLE,12.04
SF/PF,Dante Cunningham (11695267),Dante Cunningham,11695267,SF/PF/F/UTIL,3700,SA@MIL 11/24/2018 08:30PM ET,SA,14.44
PG,Derrick White (11695271),Derrick White,11695271,PG/G/UTIL,3700,SA@MIL 11/24/2018 08:30PM ET,SA,12.78
PG,Ryan Arcidiacono (11695252),Ryan Arcidiacono,11695252,PG/G/UTIL,3700,CHI@MIN 11/24/2018 08:00PM ET,CHI,19.07
PF/C,Kevon Looney (11695255),Kevon Looney,11695255,PF/C/F/UTIL,3700,SAC@GS 11/24/2018 08:30PM ET,GS,16.62
PG/SG,Marcus Smart (11695259),Marcus Smart,11695259,PG/SG/G/UTIL,3700,BOS@DAL 11/24/2018 08:30PM ET,BOS,18.47
