Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
SF,Duncan Robinson (11615866),Duncan Robinson,11615866,SF/F/UTIL,3000,PHI@MIA 11/12/2018 07:30PM ET,MIA,5.88,0.196
PG,Lorenzo Brown (11615824),Lorenzo Brown,11615824,PG/G/UTIL,3000,NO@TOR 11/12/2018 07:30PM ET,TOR,5.83,0.194333333
C,Thomas Bryant (11615715),Thomas Bryant,11615715,C/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,WAS,5.56,0.185333333
PG/SG,Jamal Crawford (11615630),Jamal Crawford,11615630,PG/SG/G/UTIL,3100,PHO@OKC 11/12/2018 08:00PM ET,PHO,5.72,0.184516129
SG/SF,James Nunnally (11615774),James Nunnally,11615774,SG/SF/F/G/UTIL,3000,BKN@MIN 11/12/2018 08:00PM ET,MIN,5.35,0.178333333
PF,Jonah Bolden (11615860),Jonah Bolden,11615860,PF/F/UTIL,3000,PHI@MIA 11/12/2018 07:30PM ET,PHI,5.29,0.176333333
PF/C,Skal Labissiere (11615909),Skal Labissiere,11615909,PF/C/F/UTIL,3000,SA@SAC 11/12/2018 10:00PM ET,SAC,5.15,0.171666667
SF,Keita Bates-Diop (11615760),Keita Bates-Diop,11615760,SF/F/UTIL,3000,BKN@MIN 11/12/2018 08:00PM ET,MIN,4.88,0.162666667
SF/PF,Thabo Sefolosha (11615801),Thabo Sefolosha,11615801,SF/PF/F/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,UTA,4.88,0.162666667
SG,Damion Lee (11615691),Damion Lee,11615691,SG/G/UTIL,3000,GS@LAC 11/12/2018 10:30PM ET,GS,4.81,0.160333333
SG,Furkan Korkmaz (11615851),Furkan Korkmaz,11615851,SG/G/UTIL,3500,PHI@MIA 11/12/2018 07:30PM ET,PHI,5.54,0.158285714
SG,Jerome Robinson (11615670),Jerome Robinson,11615670,SG/G/UTIL,3000,GS@LAC 11/12/2018 10:30PM ET,LAC,4.46,0.148666667
C,Greg Monroe (11615827),Greg Monroe,11615827,C/UTIL,3000,NO@TOR 11/12/2018 07:30PM ET,TOR,4.35,0.145
PG/SG,Tyrone Wallace (11615679),Tyrone Wallace,11615679,PG/SG/G/UTIL,3000,GS@LAC 11/12/2018 10:30PM ET,LAC,4.25,0.141666667
PG,Isaiah Briscoe (11615725),Isaiah Briscoe,11615725,PG/G/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,ORL,4.25,0.141666667
SF,Dzanan Musa (11615757),Dzanan Musa,11615757,SF/F/UTIL,3000,BKN@MIN 11/12/2018 08:00PM ET,BKN,4.25,0.141666667
