Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,PPD
SF/PF,Jonas Jerebko (11606115),Jonas Jerebko,11606115,SF/PF/F/UTIL,3400,BKN@GS 11/10/2018 08:30PM ET,GS,15.81,0.465
SF/PF,Otto Porter Jr. (11605794),Otto Porter Jr.,11605794,SF/PF/F/UTIL,5300,WAS@MIA 11/10/2018 08:00PM ET,WAS,24.6,0.464150943
SG/SF,E'Twaun Moore (11605885),E'Twaun Moore,11605885,SG/SF/F/G/UTIL,4600,PHO@NO 11/10/2018 07:00PM ET,NO,21.27,0.462391304
PG/SG,Cameron Payne (11605980),Cameron Payne,11605980,PG/SG/G/UTIL,4000,CLE@CHI 11/10/2018 08:00PM ET,CHI,18.44,0.461
SG,Troy Williams (11606132),Troy Williams,11606132,SG/G/UTIL,3400,LAL@SAC 11/10/2018 10:00PM ET,SAC,15.65,0.460294118
SF/PF,Rudy Gay (11605718),Rudy Gay,11605718,SF/PF/F/UTIL,6400,HOU@SA 11/10/2018 08:30PM ET,SA,29.41,0.45953125
PG/SG,Patty Mills (11605964),Patty Mills,11605964,PG/SG/G/UTIL,4200,HOU@SA 11/10/2018 08:30PM ET,SA,19.28,0.459047619
SF,Dorian Finney-Smith (11606022),Dorian Finney-Smith,11606022,SF/F/UTIL,3800,OKC@DAL 11/10/2018 09:00PM ET,DAL,17.43,0.458684211
PG/SG,Tyler Johnson (11605928),Tyler Johnson,11605928,PG/SG/G/UTIL,4300,WAS@MIA 11/10/2018 08:00PM ET,MIA,19.7,0.458139535
SF/PF,Markieff Morris (11605846),Markieff Morris,11605846,SF/PF/F/UTIL,5000,WAS@MIA 11/10/2018 08:00PM ET,WAS,22.88,0.4576
PG/SG,Jordan Clarkson (11605818),Jordan Clarkson,11605818,PG/SG/G/UTIL,5100,CLE@CHI 11/10/2018 08:00PM ET,CLE,23.32,0.457254902
SG,Klay Thompson (11605704),Klay Thompson,11605704,SG/G/UTIL,6800,BKN@GS 11/10/2018 08:30PM ET,GS,31.08,0.457058824
PG/SG,Shabazz Napier (11606225),Shabazz Napier,11606225,PG/SG/G/UTIL,3100,BKN@GS 11/10/2018 08:30PM ET,BKN,14.06,0.453548387
PG,Frank Mason III (11606066),Frank Mason III,11606066,PG/G/UTIL,3600,LAL@SAC 11/10/2018 10:00PM ET,SAC,16.27,0.451944444
PG/SF,Brandon Ingram (11605747),Brandon Ingram,11605747,PG/SF/F/G/UTIL,6000,LAL@SAC 11/10/2018 10:00PM ET,LAL,27.07,0.451166667
PG,Isaiah Canaan (11605912),Isaiah Canaan,11605912,PG/G/UTIL,4400,PHO@NO 11/10/2018 07:00PM ET,PHO,19.8,0.45
PF/C,Larry Nance Jr. (11605881),Larry Nance Jr.,11605881,PF/C/F/UTIL,4600,CLE@CHI 11/10/2018 08:00PM ET,CLE,20.64,0.448695652
PG,Antonio Blakeney (11606043),Antonio Blakeney,11606043,PG/G/UTIL,3700,CLE@CHI 11/10/2018 08:00PM ET,CHI,16.6,0.448648649
SF/PF,Kevin Durant (11605605),Kevin Durant,11605605,SF/PF/F/UTIL,10700,BKN@GS 11/10/2018 08:30PM ET,GS,47.88,0.447476636
PF/C,Rondae Hollis-Jefferson (11605893),Rondae Hollis-Jefferson,11605893,PF/C/F/UTIL,4500,BKN@GS 11/10/2018 08:30PM ET,BKN,20,0.444444444
SF,Cedi Osman (11605798),Cedi Osman,11605798,SF/F/UTIL,5200,CLE@CHI 11/10/2018 08:00PM ET,CLE,23.07,0.443653846
C,Damian Jones (11606181),Damian Jones,11606181,C/UTIL,3200,BKN@GS 11/10/2018 08:30PM ET,GS,14.17,0.4428125
C,Cristiano Felicio (11606212),Cristiano Felicio,11606212,C/UTIL,3100,CLE@CHI 11/10/2018 08:00PM ET,CHI,13.72,0.442580645
SF/PF,Jared Dudley (11606151),Jared Dudley,11606151,SF/PF/F/UTIL,3300,BKN@GS 11/10/2018 08:30PM ET,BKN,14.6,0.442424242
PG/SG,Dennis Schroder (11605690),Dennis Schroder,11605690,PG/SG/G/UTIL,7000,OKC@DAL 11/10/2018 09:00PM ET,OKC,30.82,0.440285714
SG/SF,Marco Belinelli (11605939),Marco Belinelli,11605939,SG/SF/F/G/UTIL,4300,HOU@SA 11/10/2018 08:30PM ET,SA,18.92,0.44
PG/SG,Eric Gordon (11605771),Eric Gordon,11605771,PG/SG/G/UTIL,5500,HOU@SA 11/10/2018 08:30PM ET,HOU,24.14,0.438909091
PF/C,Kelly Olynyk (11605932),Kelly Olynyk,11605932,PF/C/F/UTIL,4300,WAS@MIA 11/10/2018 08:00PM ET,MIA,18.84,0.438139535
PF/C,Kevon Looney (11606051),Kevon Looney,11606051,PF/C/F/UTIL,3700,BKN@GS 11/10/2018 08:30PM ET,GS,16.15,0.436486486
PG/SF,Kyle Anderson (11605947),Kyle Anderson,11605947,PG/SF/F/G/UTIL,4200,PHI@MEM 11/10/2018 08:00PM ET,MEM,18.28,0.435238095
PF/C,Mike Muscala (11606072),Mike Muscala,11606072,PF/C/F/UTIL,3500,PHI@MEM 11/10/2018 08:00PM ET,PHI,15.06,0.430285714
SF,Justin Jackson (11606093),Justin Jackson,11606093,SF/F/UTIL,3500,LAL@SAC 11/10/2018 10:00PM ET,SAC,15,0.428571429
C,Dwight Howard (11605728),Dwight Howard,11605728,C/UTIL,6100,WAS@MIA 11/10/2018 08:00PM ET,WAS,25.75,0.422131148
PF/C,Patrick Patterson (11606229),Patrick Patterson,11606229,PF/C/F/UTIL,3100,OKC@DAL 11/10/2018 09:00PM ET,OKC,13.04,0.420645161
PF/C,Draymond Green (11605662),Draymond Green,11605662,PF/C/F/UTIL,7800,BKN@GS 11/10/2018 08:30PM ET,GS,32.8,0.420512821
PG,Shaun Livingston (11606347),Shaun Livingston,11606347,PG/G/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,GS,12.5,0.416666667
SF/PF,Wesley Johnson (11606435),Wesley Johnson,11606435,SF/PF/F/UTIL,3000,PHO@NO 11/10/2018 07:00PM ET,NO,12.5,0.416666667
C,Tyson Chandler (11606474),Tyson Chandler,11606474,C/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,LAL,12.41,0.413666667
PG/SG,Kris Dunn (11605764),Kris Dunn,11605764,PG/SG/G/UTIL,5600,CLE@CHI 11/10/2018 08:00PM ET,CHI,23,0.410714286
SG/SF,Rodney Hood (11605801),Rodney Hood,11605801,SG/SF/F/G/UTIL,5200,CLE@CHI 11/10/2018 08:00PM ET,CLE,21.3,0.409615385
SG/SF,Allen Crabbe (11606046),Allen Crabbe,11606046,SG/SF/F/G/UTIL,3700,BKN@GS 11/10/2018 08:30PM ET,BKN,15.09,0.407837838
PG/SG,Austin Rivers (11606193),Austin Rivers,11606193,PG/SG/G/UTIL,3200,WAS@MIA 11/10/2018 08:00PM ET,WAS,13,0.40625
SF,Derrick Jones Jr. (11606197),Derrick Jones Jr.,11606197,SF/F/UTIL,3200,WAS@MIA 11/10/2018 08:00PM ET,MIA,13,0.40625
PF/C,Channing Frye (11606263),Channing Frye,11606263,PF/C/F/UTIL,3000,CLE@CHI 11/10/2018 08:00PM ET,CLE,12,0.4
SF/PF,Dante Cunningham (11606135),Dante Cunningham,11606135,SF/PF/F/UTIL,3400,HOU@SA 11/10/2018 08:30PM ET,SA,13.35,0.392647059
SF,Mikal Bridges (11606087),Mikal Bridges,11606087,SF/F/UTIL,3500,PHO@NO 11/10/2018 07:00PM ET,PHO,13.7,0.391428571
SG/SF,James Ennis III (11606038),James Ennis III,11606038,SG/SF/F/G/UTIL,3800,HOU@SA 11/10/2018 08:30PM ET,HOU,14.86,0.391052632
PF,Rodions Kurucs (11606335),Rodions Kurucs,11606335,PF/F/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,BKN,11.62,0.387333333
SG,Dillon Brooks (11606069),Dillon Brooks,11606069,SG/G/UTIL,3500,PHI@MEM 11/10/2018 08:00PM ET,MEM,13.52,0.386285714
SF/PF,Omri Casspi (11606214),Omri Casspi,11606214,SF/PF/F/UTIL,3100,PHI@MEM 11/10/2018 08:00PM ET,MEM,11.96,0.385806452
PF/C,Jason Smith (11606389),Jason Smith,11606389,PF/C/F/UTIL,3000,WAS@MIA 11/10/2018 08:00PM ET,WAS,11.53,0.384333333
C,Bam Adebayo (11605902),Bam Adebayo,11605902,C/UTIL,4500,WAS@MIA 11/10/2018 08:00PM ET,MIA,17.14,0.380888889
SG/SF,Gerald Green (11606100),Gerald Green,11606100,SG/SF/F/G/UTIL,3500,HOU@SA 11/10/2018 08:30PM ET,HOU,13.32,0.380571429
PG,Michael Carter-Williams (11606171),Michael Carter-Williams,11606171,PG/G/UTIL,3300,HOU@SA 11/10/2018 08:30PM ET,HOU,12.5,0.378787879
SF,Josh Jackson (11606125),Josh Jackson,11606125,SF/F/UTIL,3400,PHO@NO 11/10/2018 07:00PM ET,PHO,12.86,0.378235294
SG,Hamidou Diallo (11606233),Hamidou Diallo,11606233,SG/G/UTIL,3100,OKC@DAL 11/10/2018 09:00PM ET,OKC,11.7,0.377419355
SG/SF,Alex Abrines (11606080),Alex Abrines,11606080,SG/SF/F/G/UTIL,3500,OKC@DAL 11/10/2018 09:00PM ET,OKC,13.14,0.375428571
PF/C,Ryan Anderson (11606200),Ryan Anderson,11606200,PF/C/F/UTIL,3200,PHO@NO 11/10/2018 07:00PM ET,PHO,11.93,0.3728125
PG,Landry Shamet (11606112),Landry Shamet,11606112,PG/G/UTIL,3400,PHI@MEM 11/10/2018 08:00PM ET,PHI,12.23,0.359705882
PG/SG,Raymond Felton (11606062),Raymond Felton,11606062,PG/SG/G/UTIL,3600,OKC@DAL 11/10/2018 09:00PM ET,OKC,12.9,0.358333333
PF/C,Amir Johnson (11606177),Amir Johnson,11606177,PF/C/F/UTIL,3200,PHI@MEM 11/10/2018 08:00PM ET,PHI,11.44,0.3575
SG,Wayne Selden Jr. (11606218),Wayne Selden Jr.,11606218,SG/G/UTIL,3100,PHI@MEM 11/10/2018 08:00PM ET,MEM,10.92,0.352258065
PG,Collin Sexton (11605853),Collin Sexton,11605853,PG/G/UTIL,4900,CLE@CHI 11/10/2018 08:00PM ET,CLE,17.25,0.352040816
PF,Alfonzo McKinnie (11606001),Alfonzo McKinnie,11606001,PF/F/UTIL,4000,BKN@GS 11/10/2018 08:30PM ET,GS,14.08,0.352
PG,Elie Okobo (11606160),Elie Okobo,11606160,PG/G/UTIL,3300,PHO@NO 11/10/2018 07:00PM ET,PHO,11.5,0.348484848
SG,MarShon Brooks (11606174),MarShon Brooks,11606174,SG/G/UTIL,3200,PHI@MEM 11/10/2018 08:00PM ET,MEM,11.11,0.3471875
PF,Johnathan Williams (11606462),Johnathan Williams,11606462,PF/F/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,LAL,10.38,0.346
SG,Chandler Hutchison (11606105),Chandler Hutchison,11606105,SG/G/UTIL,3400,CLE@CHI 11/10/2018 08:00PM ET,CHI,11.75,0.345588235
PF/C,Davis Bertans (11606014),Davis Bertans,11606014,PF/C/F/UTIL,3900,HOU@SA 11/10/2018 08:30PM ET,SA,13.42,0.344102564
SG,J.R. Smith (11605944),J.R. Smith,11605944,SG/G/UTIL,4200,CLE@CHI 11/10/2018 08:00PM ET,CLE,14.43,0.343571429
C,Ivica Zubac (11606455),Ivica Zubac,11606455,C/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,LAL,10.19,0.339666667
SF/PF,Solomon Hill (11606431),Solomon Hill,11606431,SF/PF/F/UTIL,3000,PHO@NO 11/10/2018 07:00PM ET,NO,10.16,0.338666667
SF/PF,Wilson Chandler (11606108),Wilson Chandler,11606108,SF/PF/F/UTIL,3400,PHI@MEM 11/10/2018 08:00PM ET,PHI,11.5,0.338235294
SF/PF,Sam Dekker (11605904),Sam Dekker,11605904,SF/PF/F/UTIL,4400,CLE@CHI 11/10/2018 08:00PM ET,CLE,14.86,0.337727273
SF/PF,DeMarre Carroll (11606076),DeMarre Carroll,11606076,SF/PF/F/UTIL,3500,BKN@GS 11/10/2018 08:30PM ET,BKN,11.5,0.328571429
SG/SF,Wayne Ellington (11606004),Wayne Ellington,11606004,SG/SF/F/G/UTIL,4000,WAS@MIA 11/10/2018 08:00PM ET,MIA,13.12,0.328
C,Ian Mahinmi (11606085),Ian Mahinmi,11606085,C/UTIL,3500,WAS@MIA 11/10/2018 08:00PM ET,WAS,11.25,0.321428571
PG/SG,Yogi Ferrell (11606167),Yogi Ferrell,11606167,PG/SG/G/UTIL,3300,LAL@SAC 11/10/2018 10:00PM ET,SAC,10.6,0.321212121
