Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,PPD
SF,D.J. Stephens (11606296),D.J. Stephens,11606296,SF/F/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,MEM,0,0
PG/SG,Jerryd Bayless (11606299),Jerryd Bayless,11606299,PG/SG/G/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,PHI,0,0
PG,Shake Milton (11606303),Shake Milton,11606303,PG/G/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,PHI,0,0
PG,Demetrius Jackson (11606309),Demetrius Jackson,11606309,PG/G/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,PHI,0,0
SF,Zhaire Smith (11606315),Zhaire Smith,11606315,SF/F/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,PHI,0,0
C,Alan Williams (11606322),Alan Williams,11606322,C/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,BKN,0,0
SF,Marcus Derrickson (11606341),Marcus Derrickson,11606341,SF/F/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,GS,0,0
C,Tyler Davis (11606356),Tyler Davis,11606356,C/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,OKC,0,0
PF,Ray Spalding (11606361),Ray Spalding,11606361,PF/F/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,DAL,0,0
PG,Daryl Macon (11606371),Daryl Macon,11606371,PG/G/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,DAL,0,0
SF,Kostas Antetokounmpo (11606374),Kostas Antetokounmpo,11606374,SF/F/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,DAL,0,0
PG,Chasson Randle (11606377),Chasson Randle,11606377,PG/G/UTIL,3000,WAS@MIA 11/10/2018 08:00PM ET,WAS,0,0
SG,Devin Robinson (11606384),Devin Robinson,11606384,SG/G/UTIL,3000,WAS@MIA 11/10/2018 08:00PM ET,WAS,0,0
PF,Yante Maten (11606400),Yante Maten,11606400,PF/F/UTIL,3000,WAS@MIA 11/10/2018 08:00PM ET,MIA,0,0
SF,George King (11606415),George King,11606415,SF/F/UTIL,3000,PHO@NO 11/10/2018 07:00PM ET,PHO,0,0
PG,Trevon Bluiett (11606424),Trevon Bluiett,11606424,PG/G/UTIL,3000,PHO@NO 11/10/2018 07:00PM ET,NO,0,0
SF,Wenyen Gabriel (11606439),Wenyen Gabriel,11606439,SF/F/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,SAC,0,0
PF/C,Zach Randolph (11606442),Zach Randolph,11606442,PF/C/F/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,SAC,0,0
C,Isaac Bonga (11606457),Isaac Bonga,11606457,C/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,LAL,0,0
SG,Alex Caruso (11606459),Alex Caruso,11606459,SG/G/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,LAL,0,0
C,Moritz Wagner (11606465),Moritz Wagner,11606465,C/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,LAL,0,0
PG,Dejounte Murray (11606481),Dejounte Murray,11606481,PG/G/UTIL,3000,HOU@SA 11/10/2018 08:30PM ET,SA,0,0
SG,Lonnie Walker IV (11606484),Lonnie Walker IV,11606484,SG/G/UTIL,3000,HOU@SA 11/10/2018 08:30PM ET,SA,0,0
PG/SG,Brandon Knight (11606490),Brandon Knight,11606490,PG/SG/G/UTIL,3000,HOU@SA 11/10/2018 08:30PM ET,HOU,0,0
SF,Vincent Edwards (11606496),Vincent Edwards,11606496,SF/F/UTIL,3000,HOU@SA 11/10/2018 08:30PM ET,HOU,0,0
